Model,Accuracy,Precision,Sensitivity,Specificity,F1,AUC,Kappa,Brier,CV_AUC,CV_SD,Cal_slope,Params
Random Forest,0.7547169811320755,0.64,0.8,0.7272727272727273,0.7111111111111111,0.8431818181818181,0.5025270758122744,0.15849292452830183,0.8868522970085471,0.042292678427359176,1.0471682653084255,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}"
CatBoost,0.7924528301886793,0.68,0.85,0.7575757575757576,0.7555555555555555,0.8348484848484848,0.5790613718411552,0.1687412815744617,0.8866764601139602,0.043419601668481383,0.41885612465156097,"{'learning_rate': 0.1, 'iterations': 200, 'depth': 4}"
K-Nearest Neighbours,0.7924528301886793,0.6666666666666666,0.9,0.7272727272727273,0.7659574468085106,0.85,0.5868178596739901,0.15784854365690393,0.8847355769230768,0.03862334052383551,0.7208007116930532,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15}"
Logistic Regression,0.6981132075471698,0.5714285714285714,0.8,0.6363636363636364,0.6666666666666666,0.8287878787878789,0.4044943820224719,0.18340900460405615,0.8807247150997151,0.04080424961580987,0.9149438977466463,{'C': 0.03}
Support Vector Machine,0.7547169811320755,0.7692307692307693,0.5,0.9090909090909091,0.6060606060606061,0.8303030303030303,0.43938161106590723,0.16524848220217572,0.8672854344729345,0.034464792328932556,0.8966492652821504,"{'gamma': 0.1, 'C': 1}"
Gradient Boosting,0.7735849056603774,0.6428571428571429,0.9,0.696969696969697,0.75,0.8242424242424242,0.5533707865168539,0.16827875978918042,0.8629050925925927,0.045354850781827036,1.6398804074741349,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.01}"
XGBoost,0.8113207547169812,0.7083333333333334,0.85,0.7878787878787878,0.7727272727272727,0.8212121212121213,0.6137026239067056,0.16949062049388885,0.8615384615384617,0.04957452194565891,0.39171032742007555,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1}"
LightGBM,0.8113207547169812,0.7083333333333334,0.85,0.7878787878787878,0.7727272727272727,0.8272727272727273,0.6137026239067056,0.1750112223431931,0.8597355769230768,0.05407739988657571,0.33638435231684904,"{'num_leaves': 7, 'n_estimators': 200, 'min_child_samples': 20, 'learning_rate': 0.1}"
Naive Bayes,0.7169811320754716,0.6666666666666666,0.5,0.8484848484848485,0.5714285714285714,0.7659090909090909,0.3665338645418327,0.2800325780991912,0.8471554487179486,0.043983850255065515,0.07685152741673679,{'var_smoothing': 1e-11}
Decision Tree,0.6792452830188679,0.5483870967741935,0.85,0.5757575757575758,0.6666666666666666,0.7098484848484848,0.3841421736158578,0.2547324282455175,0.7945067663817664,0.04598587080605392,0.0780147345699395,"{'min_samples_leaf': 3, 'max_depth': 5, 'criterion': 'gini'}"
