f,m,s
Comfort_disclosing,0.01672727272727267,0.011641886315716303
Belief_system,0.014272727272727222,0.012407009482446637
Tailored_MH_services,0.010212121212121157,0.006555967987524315
Counselling_availability,0.008863636363636304,0.018019636518961255
Healthcare_access,0.008136363636363577,0.00330153566405799
Education_SHS/SSS/O Level/A Level,0.00733333333333329,0.002733326614249624
Cultural_beliefs_influence,0.006530303030302975,0.005024937810560443
Medication_side_effects,0.005757575757575692,0.005583492658390392
Overall_HIV_impact,0.005757575757575686,0.0034350860753801847
Comorbid_illness,0.00563636363636359,0.006028627755723513
TB_screened,0.0055757575757575005,0.0034342840161229555
Cultural_norms,0.005181818181818141,0.003031666359986471
Difficulty_expressing,0.003651515151515099,0.004864297132495577
Marital_status_Single,0.003424242424242361,0.003974898281122539
Healthcare_quality,0.003106060606060563,0.01304900877215281
On_TPT,0.0026060606060605497,0.0034155158311770573
Religion_Islam,0.002545454545454506,0.0035461019869868393
ART_duration_Don't know,0.0024999999999999467,0.002284062641163854
Occupation_Self_Employed,0.002060606060606003,0.0023958565395929563
Ethnicity_Guan,0.0018636363636363007,0.002045230066245636
