,Random Forest,CatBoost,Gradient Boosting,Logistic Regression,XGBoost,Mean rank,Top-10 count
Counselling availability,1.0,1.0,1.0,2.0,1.0,1.2,5
Healthcare quality,2.0,2.0,2.0,1.0,2.0,1.8,5
Sex,6.0,3.0,5.0,3.0,3.0,4.0,5
Comfort disclosing,4.0,4.0,6.0,8.0,5.0,5.4,5
Age,12.0,5.0,7.0,6.0,8.0,7.6,4
HIV impact daily life,7.0,6.0,13.0,4.0,13.0,8.6,3
Tailored MH services,5.0,8.0,10.0,11.0,10.0,8.8,4
Belief system,3.0,10.0,11.0,10.0,18.0,10.4,3
Education Primary/JHS,16.0,7.0,18.0,18.0,6.0,13.0,2
TB screened,28.0,12.0,15.0,7.0,4.0,13.2,2
Healthcare access,8.0,9.0,16.0,9.0,27.0,13.8,3
Medication side effects,11.0,15.0,17.0,15.0,14.0,14.4,0
Years since diagnosis 3 years ago,34.0,18.0,12.0,5.0,11.0,16.0,1
Provider relationship,9.0,21.0,3.0,28.0,19.0,16.0,2
Worry anxiety,19.0,22.0,9.0,20.0,12.0,16.4,1
WHO stage known,26.0,11.0,8.0,16.0,24.0,17.0,1
Ethnicity Mole Dagbani,22.0,30.0,22.0,14.0,7.0,19.0,1
Recurrent thoughts,17.0,16.0,14.0,36.0,15.0,19.6,0
TB test requested,32.0,29.0,24.0,12.0,9.0,21.2,1
Low energy,23.0,13.0,30.0,25.0,17.0,21.6,0
ART duration More than a year,20.0,24.0,32.0,13.0,25.0,22.8,0
Cultural norms,14.0,20.0,39.0,23.0,22.0,23.6,0
Overall HIV impact,24.0,17.0,20.0,17.0,41.0,23.8,0
Comorbid illness,10.0,31.0,26.0,22.0,35.0,24.8,1
Years since diagnosis A year ago,18.0,23.0,44.0,26.0,20.0,26.2,0
Feelings of distress,31.0,26.0,29.0,21.0,26.0,26.6,0
Difficulty expressing,29.0,25.0,21.0,31.0,29.0,27.0,0
Occupation Self Employed,30.0,19.0,23.0,43.0,21.0,27.2,0
Chills fever,21.0,37.0,4.0,37.0,38.0,27.4,1
Cultural beliefs influence,13.0,27.0,19.0,51.0,32.0,28.4,0
Perceived stigma,33.0,28.0,28.0,24.0,36.0,29.8,0
Community acceptance,38.0,14.0,35.0,34.0,28.0,29.8,0
Physical limitation,41.0,38.0,33.0,29.0,16.0,31.4,0
Marital status Single,25.0,33.0,25.0,39.0,43.0,33.0,0
ART duration Don't know,35.0,36.0,46.0,30.0,23.0,34.0,0
Religion Islam,27.0,34.0,36.0,46.0,31.0,34.8,0
Cultural attitudes,39.0,32.0,37.0,42.0,33.0,36.6,0
Education Tertiary,46.0,40.0,27.0,32.0,44.0,37.8,0
Years since diagnosis more than 4 years ago,44.0,44.0,34.0,35.0,34.0,38.2,0
Occupation Unemployed,40.0,35.0,47.0,41.0,30.0,38.6,0
Education SHS/SSS/O Level/A Level,37.0,42.0,31.0,45.0,39.0,38.8,0
Health information received,43.0,41.0,42.0,40.0,37.0,40.6,0
Ethnicity Guan,36.0,39.0,41.0,47.0,42.0,41.0,0
On TPT,15.0,50.0,40.0,52.0,48.5,41.1,0
Ethnicity Ewe,45.0,45.0,48.0,33.0,40.0,42.2,0
Religion Traditionalist,48.0,46.0,43.0,27.0,48.5,42.5,0
Substance use,52.0,50.0,51.0,19.0,48.5,44.1,0
CD4 known,47.0,50.0,49.0,38.0,48.5,46.5,0
Ethnicity Ga/Dangbe,49.0,50.0,38.0,48.0,48.5,46.7,0
Ethnicity Kokomba,42.0,43.0,51.0,50.0,48.5,46.9,0
Counselling attended,50.0,47.0,45.0,49.0,48.5,47.9,0
Tobacco use,51.0,50.0,51.0,44.0,48.5,48.9,0
